"AIRLINE NAME","passangers_arriving","passangers_departing","total"
JET AIRWAYS,8320544,8471096,16791640
AIR INDIA,6417414,6495056,12912470
EMIRATES AIRLINE,5981862,6214850,12196712
AIR INDIA EXPRESS,3099689,3433720,6533409
ETIHAD AIRLINES,2715962,2813097,5529059
AIR ARABIA,1964928,2031394,3996322
INDIGO,1929303,2044693,3973996
OMAN AIR,1758656,1802529,3561185
QATAR AIRWAYS,1654189,1646102,3300291
SAUDIA,1587708,1701301,3289009
SPICEJET,1538103,1620827,3158930
SRILNKAN AIRWAYS,1486101,1522148,3008249
THAI AIRWAYS,1435446,1548103,2983549
LUFTHANSA,1260696,1341974,2602670
SINGAPORE AIRLINES,1268310,1328289,2596599
BRITISH AIRWAYS,1005558,1120351,2125909
GULF AIR,940251,936802,1877053
MALAYSIA AIRLINES,904494,923696,1828190
CATHAY PACIFIC,851905,888017,1739922
AIR ASIA BERHAD,735850,717993,1453843
QATAR AIRWATYS,691642,737428,1429070
TIGER AIRWAYS,679946,687205,1367151
KUWAIT AIRWAYS,645907,694413,1340320
MALINDO AIRWAYS,636526,627934,1264460
FLY DUBAI,512867,538156,1051023
SILK AIR,490971,546318,1037289
TURKISH AIRLINES,462717,482272,944989
AIR FRANCE,450292,481217,931509
UNITED AIRLINES,348365,364221,712586
SWISS AIR,300567,344761,645328
KLM AIRLINES,240700,256197,496897
CHINA EASTERN AIRLINES,222439,226851,449290
ETHIOPIAN AIRLINES,212621,220632,433253
DRAGON AIR,213364,215377,428741
AIR MAURITIUS,202185,211317,413502
CHINA SOUTHERN ,202395,208519,410914
AEROFLOT,194356,210052,404408
KENYA AIRWAYS,184704,202342,387046
THAI AIR ASIA,202679,175788,378467
MIHIN LANKA,183259,193126,376385
REGENT AIRWAYS,166185,176862,343047
VIRGIN ATLANTIC AIRLINES,162003,178864,334171
ALL NIPPON AIRWAYS,145779,170467,316246
BIMAN BANGLADESH,119945,134996,254941
NEPAL AIRLINES CORPORATION,125984,123476,249460
SCOOT PTE LTD.,126660,113955,240615
UZBEKISTAN AIRWAYS,114183,115269,229452
ISLAND AVIATION SERVICES,109333,114517,223850
JAPAN AIRLINES,104148,114845,218993
AIR CANADA,106925,107517,214442
BANGKOK AIRWAYS,98986,101943,200929
FINN AIR,96808,103572,200380
AIR CHINA,94057,98500,192557
DRUK AIR,98198,92466,190664
ASIANA AIRLINES,93082,93948,187030
TURKMENISTAN AIRLINES,93961,92049,186010
KAM AIR,91704,82197,173901
CHINA AIRLINES LTD,45610,118847,164457
AIR ASTANA,68950,74927,143877
KOREAN AIR,67994,72113,140107
AUSTRIAN AIRLINES,65311,74331,139642
AIR ASIA X,66188,69238,135426
EL-AL-ISRAEL,62163,65400,127563
SAFI AIRWAYS,63026,59629,122655
AIR SEYCHELLES,50475,58214,108689
ROSSIYA AIRLINES,50004,46017,96021
MAHAN AIR,44318,43755,88073
ARIANA AFGHAN,43329,44497,87826
BHUTAN AIRLINES,44341,43149,87490
PAK INTERNATIONAL,24801,47157,71958
IRAN AIR,35872,35236,71108
EGYPT AIR,32304,37286,69590
TRANSAERO AIRLINES,29383,32524,61907
MYANMAR AIRLINES,28318,27983,56301
THAI SMILE AIRWAYS,27805,27581,55386
THOMAS COOK AIRLINES U.K.,21499,24375,45874
DELTA AIRLINES,22640,23140,45780
AIR MANAS,20083,23091,43174
SHANDONG AIRLINES,19468,19899,39367
YEMENIA AIRWAYS,10764,12892,23656
UNITED AIRLINES BANGLADESH LTD.,7870,12656,20526
SOUTHA AFRICAN AIRLINES,8483,11916,20399
IRAQI AIRWAYS,8737,10015,18752
US BANGLA AIRLINES,8882,8808,17690
SCAT AIRLINES,8824,8554,17378
TAJIK AIR,9354,7106,16460
AIR AUSTRAL,7462,7285,14747
NOVO AIR,6096,5938,12034
MEGA MALDIVES AIRLINES,3945,4924,8869
GARUDA INDONESIA,4104,4386,8490
BUDHHA AIR,790,829,1619
BUDDHA AIR,563,557,1120
BRUSSELS AIRLINES,465,237,702
UNITED PARCEL SERVICES,0,0,0
MARTIN AIR HOLLAND,0,0,0
FEDERAL EXPRESS,0,0,0
CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,0
EVA AIRWAYS,0,0,0
KALITTA AIR,0,0,0
AEROLOGIC,0,0,0
