"year_month","passangers"
2015-01-01,4315723
2015-02-01,3746648
2015-03-01,4026224
2015-04-01,3917489
2015-05-01,4266411
2015-06-01,3969443
2015-07-01,3971642
2015-08-01,4076385
2015-09-01,3727558
2015-10-01,4054073
2015-11-01,4040133
2015-12-01,4528867
2016-01-01,4685320
2016-02-01,4097068
2016-03-01,4432430
2016-04-01,4334523
2016-05-01,4644549
2016-06-01,4317921
2016-07-01,4556844
2016-08-01,4491752
2016-09-01,4269781
2016-10-01,4294796
2016-11-01,4512705
2016-12-01,5021776
2017-01-01,5081944
2017-02-01,4388320
2017-03-01,4732711
